match_id,team,venue,goals,xg,shots,shots_on_target,avg_shot_distance_m,corners,free_kicks,offsides,fouls_committed,fouls_suffered,yellow_cards,red_cards,ppda,recoveries_total,recoveries_low,recoveries_mid,recoveries_high,recoveries_opp_half,losses_total,losses_low,losses_mid,losses_high,duels_total,duels_won,duels_off_total,duels_off_won,duels_def_total,duels_def_won,duels_loose_total,duels_loose_won,duels_air_total,duels_air_won,challenge_intensity,dribbles,dribbles_successful,possession_pct,possessions,possessions_to_opp_half,possessions_to_box,avg_possession_seconds,passes_total,passes_completed,passes_forward,passes_forward_completed,passes_back,passes_back_completed,passes_lateral,passes_lateral_completed,passes_progressive,passes_progressive_completed,passes_long,passes_long_completed,passes_final_third,passes_final_third_completed,passes_box,passes_box_completed,through_passes,through_passes_completed,crosses,crosses_completed,deep_completions,match_tempo,avg_pass_length_m
FBBP_ORL_20260220,FBBP,home,0,0.19,5,0,29.1,0,1,2,14,10,2,1,12.4,79,45,21,13,20,99,27,33,39,162,86,42,16,61,37,26,16,33,17,5.1,11,5,47,108,45,2,13,436,356,136,99,75,71,142,119,74,44,66,46,31,19,14,3,3,1,11,0,2,18.2,18.6
FBBP_ORL_20260220,Orleans,away,3,1.44,8,5,16.0,4,4,2,11,10,1,0,11.2,72,31,29,12,26,111,18,34,59,162,69,61,24,42,26,26,9,33,10,4.8,25,12,53,108,69,10,15,494,420,160,123,78,69,198,181,69,51,38,18,54,38,18,5,4,1,16,5,7,18.3,19.1
FBBP_ROU_20260306,FBBP,home,3,1.05,10,5,21.8,3,2,1,17,11,0,1,7.4,74,31,28,15,23,106,15,38,53,193,90,46,20,73,43,30,12,44,15,6.5,14,13,55,113,57,10,13,458,374,157,114,54,52,162,142,86,59,68,37,51,36,27,12,6,1,19,9,7,17.6,19.8
FBBP_ROU_20260306,Rouen,away,1,1.55,8,2,14.4,7,3,5,12,17,0,0,14.2,85,45,33,7,17,109,21,39,49,193,94,73,30,46,26,30,13,44,25,4.5,28,13,45,109,55,11,11,300,231,126,86,47,46,93,73,64,43,50,27,51,32,21,7,12,3,14,2,7,14.3,21.3
FBBP_SBR_20260321,FBBP,home,1,1.14,22,5,20.4,5,3,3,15,9,2,1,5.6,97,36,42,19,39,119,7,33,79,176,76,39,13,42,23,32,15,63,25,6.3,16,7,65,105,87,18,17,550,474,164,128,76,71,235,206,110,99,61,40,91,73,38,17,4,1,35,13,4,18.3,21.3
FBBP_SBR_20260321,Stade Briochin,away,1,0.39,4,3,28.2,5,1,1,9,13,1,2,21.8,74,47,25,2,7,131,41,48,42,176,90,42,19,39,26,32,14,63,31,4.0,14,10,35,101,44,5,9,234,168,93,62,52,47,54,33,57,30,50,27,29,20,11,0,4,1,8,0,0,14.6,20.4
QRM_FBBP_20260228,Quevilly Rouen,home,2,0.35,6,4,21.9,2,4,0,18,18,0,0,14.6,95,44,40,11,22,125,22,60,43,190,89,49,24,39,19,25,8,77,38,3.7,12,8,46,107,52,5,13,402,323,133,89,48,47,189,165,58,29,56,25,37,18,19,3,2,0,15,2,5,17.5,21.8
QRM_FBBP_20260228,FBBP,away,2,1.64,11,4,17.7,1,1,0,21,18,3,0,7.4,95,32,47,16,35,128,18,49,61,190,90,39,20,49,25,25,13,77,32,5.4,14,10,54,109,59,6,15,474,392,162,116,84,83,164,141,78,62,66,44,62,40,22,7,2,1,22,8,0,17.6,20.0
VER_FBBP_20260313,Versailles,home,1,1.9,17,7,16.5,10,3,1,14,14,3,0,11.2,80,38,29,13,26,116,16,33,67,205,89,77,34,53,25,21,3,54,27,4.9,37,20,51,107,66,18,13,387,317,131,93,56,52,151,133,66,53,36,16,54,31,27,9,12,1,21,6,5,16.8,20.9
VER_FBBP_20260313,FBBP,away,0,0.4,11,0,20.8,3,4,0,14,13,1,0,10.1,84,43,30,11,20,113,21,39,53,205,108,53,28,77,43,21,13,54,24,6.7,20,14,49,108,55,11,12,352,275,127,84,38,35,154,131,61,44,53,26,45,26,20,6,3,1,18,4,3,16.0,21.9
