match_id,team,period,possession_pct,pass_accuracy_pct,long_pass_share_pct,duels_won_pct,attacks_per_min,recoveries_per_min,average_line_height_m,ppda
FBBP_ORL_20260220,FBBP,1-15,41,83,14,51,0.13,0.4,38,7.3
FBBP_ORL_20260220,FBBP,16-30,48,80,13,40,0.33,0.53,43,19.0
FBBP_ORL_20260220,FBBP,31-45+,52,77,14,50,0.19,0.38,41,14.6
FBBP_ORL_20260220,FBBP,46-60,36,80,14,59,0.47,0.27,42,7.4
FBBP_ORL_20260220,FBBP,61-75,33,71,28,54,0.07,0.2,30,17.0
FBBP_ORL_20260220,FBBP,76-90+,56,88,14,59,0.42,0.11,44,27.0
FBBP_ORL_20260220,Orleans,1-15,59,91,5,45,0.6,0.4,48,16.3
FBBP_ORL_20260220,Orleans,16-30,52,78,7,50,0.53,0.47,46,10.7
FBBP_ORL_20260220,Orleans,31-45+,63,87,5,45,0.44,0.31,50,21.5
FBBP_ORL_20260220,Orleans,46-60,67,69,15,37,0.67,0.27,51,9.0
FBBP_ORL_20260220,Orleans,61-75,67,87,4,40,0.67,0.07,61,9.7
FBBP_ORL_20260220,Orleans,76-90+,44,89,12,36,0.26,0.21,48,9.1
FBBP_ROU_20260306,FBBP,1-15,48,85,11,53,0.27,0.2,47,6.5
FBBP_ROU_20260306,FBBP,16-30,63,79,13,34,0.6,0.27,50,11.0
FBBP_ROU_20260306,FBBP,31-45+,61,90,12,51,0.44,0.19,52,3.8
FBBP_ROU_20260306,FBBP,46-60,74,82,11,50,0.8,0.4,56,5.0
FBBP_ROU_20260306,FBBP,61-75,56,75,22,46,0.33,0.2,44,13.5
FBBP_ROU_20260306,FBBP,76-90+,25,51,37,42,0.15,0.15,27,40.0
FBBP_ROU_20260306,Rouen,1-15,52,84,13,46,0.47,0.2,46,29.0
FBBP_ROU_20260306,Rouen,16-30,37,71,14,62,0.2,0.2,42,14.5
FBBP_ROU_20260306,Rouen,31-45+,39,83,12,46,0.44,0.31,45,8.4
FBBP_ROU_20260306,Rouen,46-60,26,50,32,40,0.2,0.27,37,23.7
FBBP_ROU_20260306,Rouen,61-75,44,70,25,43,0.4,0.2,50,9.3
FBBP_ROU_20260306,Rouen,76-90+,75,81,14,54,0.75,0.3,64,12.5
FBBP_SBR_20260321,FBBP,1-15,61,79,16,34,0.53,0.4,47,11.0
FBBP_SBR_20260321,FBBP,16-30,65,81,19,53,0.73,0.27,55,5.4
FBBP_SBR_20260321,FBBP,31-45+,62,91,3,47,0.76,0.24,58,6.8
FBBP_SBR_20260321,FBBP,46-60,64,88,10,52,0.67,0.33,58,8.5
FBBP_SBR_20260321,FBBP,61-75,74,88,8,44,0.8,0.4,62,2.6
FBBP_SBR_20260321,FBBP,76-90+,64,84,11,45,0.42,0.17,55,4.0
FBBP_SBR_20260321,Stade Briochin,1-15,39,61,18,58,0.4,0.4,48,29.5
FBBP_SBR_20260321,Stade Briochin,16-30,35,64,29,46,0.27,0.33,42,22.5
FBBP_SBR_20260321,Stade Briochin,31-45+,38,79,14,47,0.41,0.24,43,42.0
FBBP_SBR_20260321,Stade Briochin,46-60,36,76,14,36,0.4,0.2,43,22.5
FBBP_SBR_20260321,Stade Briochin,61-75,26,68,37,48,0.27,0.27,39,26.0
FBBP_SBR_20260321,Stade Briochin,76-90+,36,76,23,51,0.17,0.04,44,8.8
QRM_FBBP_20260228,Quevilly Rouen,1-15,51,82,12,40,0.53,0.27,51,7.8
QRM_FBBP_20260228,Quevilly Rouen,16-30,44,78,13,51,0.27,0.2,49,29.0
QRM_FBBP_20260228,Quevilly Rouen,31-45+,53,86,7,46,0.35,0.29,46,11.8
QRM_FBBP_20260228,Quevilly Rouen,46-60,43,79,16,47,0.33,0.33,34,15.2
QRM_FBBP_20260228,Quevilly Rouen,61-75,40,74,15,52,0.27,0.33,43,24.0
QRM_FBBP_20260228,Quevilly Rouen,76-90+,44,76,20,43,0.25,0.2,42,11.8
QRM_FBBP_20260228,FBBP,1-15,49,76,11,59,0.27,0.27,45,36.0
QRM_FBBP_20260228,FBBP,16-30,56,88,15,48,0.13,0.27,42,5.4
QRM_FBBP_20260228,FBBP,31-45+,47,84,14,46,0.18,0.29,43,10.3
QRM_FBBP_20260228,FBBP,46-60,57,79,15,41,0.33,0.47,47,6.3
QRM_FBBP_20260228,FBBP,61-75,60,81,14,36,0.53,0.47,50,5.7
QRM_FBBP_20260228,FBBP,76-90+,56,84,12,51,0.5,0.15,54,4.3
VER_FBBP_20260313,Versailles,1-15,65,89,5,46,0.33,0.13,48,6.3
VER_FBBP_20260313,Versailles,16-30,64,80,10,50,0.87,0.33,59,17.5
VER_FBBP_20260313,Versailles,31-45+,44,76,10,32,0.56,0.25,45,21.5
VER_FBBP_20260313,Versailles,46-60,65,82,11,31,0.53,0.2,50,4.4
VER_FBBP_20260313,Versailles,61-75,42,78,2,54,0.67,0.13,60,11.8
VER_FBBP_20260313,Versailles,76-90+,27,77,21,44,0.33,0.33,42,18.0
VER_FBBP_20260313,FBBP,1-15,35,75,15,53,0.47,0.27,44,22.0
VER_FBBP_20260313,FBBP,16-30,36,65,25,42,0.13,0.4,30,49.0
VER_FBBP_20260313,FBBP,31-45+,56,78,14,67,0.69,0.25,49,6.6
VER_FBBP_20260313,FBBP,46-60,35,51,20,62,0.27,0.27,43,10.2
VER_FBBP_20260313,FBBP,61-75,58,80,12,42,0.4,0.27,41,6.3
VER_FBBP_20260313,FBBP,76-90+,73,89,11,50,0.57,0.38,52,3.6
