match_id,team,number,player,minutes_played,saves,reflex_saves,goals_conceded,penalties_conceded,penalties_saved,aerial_duels,aerial_duels_won,claims,passes_total,passes_completed,pass_accuracy_pct,passes_beyond_own_third,passes_beyond_own_third_completed,backpasses_received,shots_faced,goals_conceded_1st_half,goals_conceded_2nd_half
FBBP_ORL_20260220,FBBP,1,Player_73,72,2,0,3,0,0,0,0,0,40,38,95,15,13,31,5,0,3
FBBP_ORL_20260220,Orleans,1,Player_20,95,0,0,0,0,0,0,0,0,26,21,81,10,6,19,0,0,0
FBBP_ROU_20260306,FBBP,1,Player_73,75,1,1,1,0,0,0,0,1,27,22,81,12,10,19,2,1,0
FBBP_ROU_20260306,FBBP,16,Player_06,18,1,1,0,0,0,2,2,3,3,3,100,3,3,0,1,0,0
FBBP_ROU_20260306,Rouen,30,Player_08,96,3,1,3,0,0,0,0,2,23,20,87,14,11,5,6,0,3
FBBP_SBR_20260321,FBBP,16,Player_06,101,2,1,1,0,0,0,0,0,26,23,88,6,4,15,3,1,0
FBBP_SBR_20260321,Stade Briochin,30,Player_22,101,4,2,1,0,0,2,2,4,35,30,86,32,28,7,5,0,1
QRM_FBBP_20260228,Quevilly Rouen,1,Player_57,97,2,1,2,1,0,0,0,2,21,18,86,7,4,10,4,1,1
QRM_FBBP_20260228,FBBP,1,Player_73,97,2,1,2,0,0,1,1,2,48,41,85,35,28,32,4,2,0
VER_FBBP_20260313,Versailles,30,Player_56,97,0,0,0,0,0,0,0,3,29,27,93,11,10,6,0,0,0
VER_FBBP_20260313,FBBP,16,Player_06,97,6,4,1,0,0,0,0,3,28,26,93,13,11,12,7,0,1
